STT,question,answer,Unnamed: 3,Unnamed: 4,category
TB_746,"Tôi là giảng viên cơ hữu, có phải kê khai nhiệm vụ trong năm học 2023–2024 theo Thông báo số 746 không?","Có. Tất cả giảng viên cơ hữu, giảng viên tập sự và các thành phần cơ hữu của Trường Đại học Bình Dương (bao gồm cơ sở chính và Phân hiệu Cà Mau) đều phải kê khai nhiệm vụ giảng dạy, nghiên cứu khoa học và các nhiệm vụ khác trong năm học 2023–2024 theo Thông báo số 746.",,,Giảng viên
TB_746,Giảng viên thỉnh giảng hoặc giảng viên hợp đồng có phải kê khai nhiệm vụ theo Thông báo số 746 không?,"Không. Theo Thông báo số 746, đối tượng kê khai là giảng viên cơ hữu, giảng viên tập sự và thành phần cơ hữu của Trường Đại học Bình Dương.",,,Giảng viên
TB_746,Tôi thực hiện kê khai nhiệm vụ năm học 2023–2024 theo Thông báo số 746 bằng hình thức nào?,"Bạn kê khai nhiệm vụ giảng dạy, nghiên cứu khoa học và nhiệm vụ khác theo biểu mẫu đính kèm Thông báo số 746. Riêng minh chứng nghiên cứu khoa học, bạn kê khai bổ sung qua liên kết: https://forms.gle/T7RsRUSmBAC8aL7r7.",,,Giảng viên
TB_746,Nội dung kê khai trong năm học 2023–2024 theo Thông báo số 746 gồm những gì?,"Nội dung kê khai gồm: nhiệm vụ giảng dạy (lý thuyết, thực hành, thực tập), nhiệm vụ nghiên cứu khoa học, các nhiệm vụ khác, tổng hợp số giờ nghĩa vụ đã thực hiện và các minh chứng kèm theo theo biểu mẫu đính kèm Thông báo số 746.",,,Giảng viên
TB_746,Thời gian được tính để kê khai nhiệm vụ theo Thông báo số 746 là từ khi nào đến khi nào?,Thời gian tính nhiệm vụ năm học 2023–2024 là từ ngày 01/9/2023 đến hết ngày 31/8/2024.,,,Giảng viên
TB_746,Định mức giờ chuẩn giảng dạy cho năm học 2023–2024 được căn cứ theo văn bản nào?,Theo Quyết định số 2004/QĐ-ĐHBD ngày 26/7/2019 về chế độ làm việc đối với giảng viên cơ hữu Trường Đại học Bình Dương.,,,Giảng viên
TB_746,"Theo Thông báo số 746, đơn vị của tôi cần nộp báo cáo kê khai về đâu và hạn cuối là khi nào?","Đơn vị tổng hợp toàn bộ bản giấy có chữ ký giảng viên và lãnh đạo, kèm danh sách tổng hợp gửi về Phòng Quản lý Đào tạo và Công tác sinh viên trước 16h00 ngày 23/7/2024 (người tiếp nhận: Cô Lê Thanh Cẩm – Tổ trưởng Tổ Giáo vụ). Bản điện tử gửi qua email: daotao@bdu.edu.vn.",,,Giảng viên
TB_746,Nếu giảng viên không kê khai nhiệm vụ năm học 2023–2024 theo Thông báo số 746 thì sẽ bị xử lý như thế nào?,"Nếu giảng viên không kê khai, Nhà trường sẽ xem như không có phát sinh nhiệm vụ trong năm học 2023–2024, thiếu giờ nghĩa vụ và thực hiện các biện pháp xử lý khắc phục theo quy định hiện hành.",,,Giảng viên
TB_746,Phòng nào chịu trách nhiệm xác nhận nhiệm vụ nghiên cứu khoa học theo Thông báo số 746?,"Phòng Quản lý Khoa học và Quan hệ đối ngoại chịu trách nhiệm đối chiếu, xác nhận nhiệm vụ nghiên cứu khoa học trước 16h00 ngày 31/7/2024.",,,Giảng viên
TB_746,Khi nào dữ liệu kê khai nhiệm vụ năm học 2023–2024 sẽ được công khai theo Thông báo số 746?,Phòng Quản lý Đào tạo và Công tác sinh viên sẽ công khai dữ liệu kê khai sơ bộ trên hệ thống Quản lý văn bản nội bộ của Nhà trường trước 16h00 ngày 09/8/2024.,,,Giảng viên
TB_746,"Nếu phát hiện sai sót trong dữ liệu kê khai nhiệm vụ, tôi có thể phản hồi trong thời gian nào theo Thông báo số 746?","Từ ngày 10/8/2024 đến hết ngày 15/8/2024, các đơn vị và cá nhân có thể kiểm tra và phản ánh các khiếu nại liên quan. Sau thời gian này, mọi khiếu nại sẽ không được tiếp nhận.",,,Giảng viên
TB_746,Ai là người ký ban hành Thông báo số 746 về việc thống kê nhiệm vụ giảng viên cơ hữu năm học 2023–2024?,PGS.TS. Đỗ Đoan Trang – Phó Hiệu trưởng thường trực Trường Đại học Bình Dương ký ban hành Thông báo số 746 ngày 03 tháng 7 năm 2024.,,,Giảng viên
TB_676,Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương hiện đang nhận bài viết cho số xuất bản nào?,Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương hiện đang nhận bài viết cho số xuất bản Vol.7 No.3 (Quý III năm 2024).,,,Giảng viên
TB_676,Những ai được mời gửi bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 (Quý III/2024)?,"Các nhà khoa học, cán bộ nghiên cứu, giảng viên trong và ngoài Trường Đại học Bình Dương đều được mời gửi bài viết cho số xuất bản Vol.7 No.3 (Quý III/2024).",,,Giảng viên
TB_676,Bài viết gửi cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 cần định dạng file như thế nào?,Định dạng chi tiết của file Word này cần tuân theo thể lệ được đăng trên trang web của Tạp chí tại địa chỉ: https://jst.bdu.edu.vn/index.php/jst/about/submissions.,,,Giảng viên
TB_676,Địa chỉ trang web nào cung cấp thể lệ gửi bài cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương?,Thể lệ gửi bài được đăng tải tại địa chỉ: https://jst.bdu.edu.vn/index.php/jst/about/submissions.,,,Giảng viên
TB_676,Tác giả gửi bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 qua email nào?,Tác giả gửi bài viết qua địa chỉ email: jst@bdu.edu.vn.,,,Giảng viên
TB_676,Hạn cuối cùng nhận bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 là ngày nào?,Hạn cuối nhận bài viết cho số xuất bản Vol.7 No.3 (Quý III/2024) là đến hết ngày 11/9/2024.,,,Giảng viên
TB_676,"Nếu có thắc mắc về việc gửi bài cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3, tôi có thể liên hệ với ai?",Tác giả có thể liên hệ Ban Biên tập qua email jst@bdu.edu.vn hoặc liên hệ ThS. Lưu Thanh Thảo Trâm – Phòng Quản lý Khoa học và Quan hệ Đối ngoại qua email lttram@bdu.edu.vn.,,,Giảng viên
TB_676,Số điện thoại liên hệ của ThS. Lưu Thanh Thảo Trâm là bao nhiêu?,Số điện thoại liên hệ là (+84) 274 3 871 387 hoặc 0868 508 373.,,,Giảng viên
TB_676,Thông báo về việc nhận bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 được ký bởi ai và vào ngày nào?,Thông báo về việc nhận bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 được ký bởi: Phó Tổng Biên tập PGS.TS.Lê Văn Cường.,,,Giảng viên
TB_763,Thông báo số 763/TB-ĐHBD về thực hiện khảo sát chất lượng đào tạo năm học 2022-2023 của Trường Đại học Bình Dương được ban hành vào ngày nào?,Thông báo số 763/TB-ĐHBD được ban hành vào ngày 14 tháng 8 năm 2023.,,,Giảng viên
TB_763,Số hiệu của Thông báo thực hiện khảo sát chất lượng đào tạo năm học 2022-2023 của Trường Đại học Bình Dương là bao nhiêu?,Số hiệu của Thông báo là 763/TB-ĐHBD.,,,Giảng viên
TB_763,Mục đích ban hành Thông báo số 763/TB-ĐHBD của Trường Đại học Bình Dương là gì?,Mục đích của Thông báo số 763/TB-ĐHBD là triển khai việc thực hiện khảo sát chất lượng đào tạo bổ sung đối với sinh viên Trường Đại học Bình Dương trong năm học 2022-2023.,,,Giảng viên
TB_763,Đối tượng thực hiện khảo sát chất lượng đào tạo được quy định trong Thông báo số 763/TB-ĐHBD là những ai?,"Đối tượng thực hiện khảo sát là sinh viên đại học chính quy chưa thực hiện khảo sát từ ngày 24/07/2023 đến ngày 27/07/2023, bao gồm: sinh viên học kỳ 2 năm học 2022-2023 thuộc khóa tuyển sinh năm 2021 trở về trước và sinh viên học kỳ 3 năm học 2022-2023 thuộc khóa tuyển sinh năm 2022 (đợt bổ sung).",,,Giảng viên
TB_763,Thời gian thực hiện khảo sát bổ sung được quy định trong Thông báo số 763/TB-ĐHBD là khi nào?,Thời gian thực hiện khảo sát bổ sung là từ ngày 16/08/2023 (thứ Tư) đến ngày 18/08/2023 (thứ Sáu).,,,Giảng viên
TB_763,Hình thức thực hiện khảo sát chất lượng đào tạo theo Thông báo số 763/TB-ĐHBD được quy định như thế nào?,Sinh viên thực hiện khảo sát trực tuyến thông qua Cổng thông tin sinh viên tại địa chỉ sv.bdu.edu.vn.,,,Giảng viên
TB_763,Nếu sinh viên không thực hiện khảo sát chất lượng đào tạo theo Thông báo số 763/TB-ĐHBD thì có được xem điểm học kỳ hay không?,Sinh viên không thực hiện khảo sát sẽ không được xem điểm học kỳ 2 và học kỳ 3 năm học 2022-2023 trên Cổng thông tin sinh viên.,,,Giảng viên
TB_763,Việc không thực hiện khảo sát chất lượng đào tạo theo Thông báo số 763/TB-ĐHBD có ảnh hưởng đến kết quả rèn luyện của sinh viên không?,Có. Sinh viên không thực hiện khảo sát sẽ bị ghi nhận vi phạm và bị trừ điểm trong kết quả đánh giá rèn luyện theo Quy định đánh giá kết quả rèn luyện sinh viên của Trường Đại học Bình Dương.,,,Giảng viên
TB_763,Sinh viên gặp khó khăn khi đăng nhập Cổng thông tin sinh viên để thực hiện khảo sát theo Thông báo số 763/TB-ĐHBD thì liên hệ bộ phận nào?,Sinh viên cần liên hệ bộ phận hỗ trợ tại địa chỉ Email: togiaoevu@bdu.edu.vn để được hỗ trợ kịp thời.,,,Giảng viên
TB_763,Thông báo số 763/TB-ĐHBD về thực hiện khảo sát chất lượng đào tạo được ký ban hành bởi ai?,Thông báo số 763/TB-ĐHBD được ký ban hành bởi Phó Hiệu trưởng Thường trực Trường Đại học Bình Dương – Đỗ Doãn Trang (ký thay Hiệu trưởng).,,,Giảng viên
TB_763,"Thông báo số 763/TB-ĐHBD được gửi đến những đơn vị, bộ phận nào trong Trường Đại học Bình Dương?","Thông báo số 763/TB-ĐHBD được gửi đến Ban Giám hiệu, các Phòng ban, Khoa liên quan để thực hiện; sinh viên để thực hiện; Cổng thông tin điện tử của Trường để đăng tải; đồng thời lưu tại Trung tâm Thông tin - Thư viện và bộ phận H.Nhưng.",,,Giảng viên
TB_494,Thông báo số 494/TB-ĐHBD được ban hành dựa trên quyết định nào của Trường Đại học Bình Dương?,Thông báo số 494/TB-ĐHBD được ban hành dựa trên Quyết định số 868/QĐ-ĐHBD ngày 20 tháng 5 năm 2024 của Hiệu trưởng Trường Đại học Bình Dương.,,,Giảng viên
TB_494,Mục đích chính của Thông báo số 494/TB-ĐHBD về rà soát tiến độ đăng ký môn học và tổ chức kế hoạch đào tạo học kỳ 1 năm học 2024-2025 là gì?,"Mục đích chính của Thông báo số 494/TB-ĐHBD là thu thập thông tin về quá trình đăng ký, tích lũy tín chỉ của sinh viên các khóa, điều chỉnh kế hoạch đào tạo kịp thời, đáp ứng nhu cầu học tập của người học và cải thiện thời gian tốt nghiệp.",,,Giảng viên
TB_494,"Theo Thông báo số 494/TB-ĐHBD, yêu cầu đầu tiên để đạt được mục tiêu rà soát là gì?","Yêu cầu đầu tiên là rà soát chi tiết từng ngành, từng trình độ đào tạo và từng người học để đảm bảo công tác hỗ trợ người học được thực hiện kịp thời.",,,Giảng viên
TB_494,"Theo Thông báo số 494/TB-ĐHBD, kế hoạch đào tạo học kỳ 1 năm học 2024-2025 cần được bố trí như thế nào?",Kế hoạch đào tạo học kỳ 1 năm học 2024-2025 cần được bố trí đúng thời gian quy định.,,,Giảng viên
TB_494,Giai đoạn rà soát ban đầu theo Thông báo số 494/TB-ĐHBD (từ ngày 10/6 đến 24/6/2024) bao gồm những hoạt động gì?,"Giai đoạn rà soát ban đầu bao gồm rà soát tiến độ đăng ký môn học của các lớp, sinh viên, rà soát chương trình đào tạo, lập kế hoạch dự kiến các môn học thực tập, thực tế trong và ngoài trường.",,,Giảng viên
TB_494,"Trong giai đoạn rà soát ban đầu theo Thông báo số 494/TB-ĐHBD, đơn vị thực hiện cần dự trù những nội dung gì?","Đơn vị thực hiện cần dự kiến dự trù cơ sở vật chất, trang thiết bị phục vụ cho công tác giảng dạy và học tập.",,,Giảng viên
TB_494,Các hoạt động liên quan đến bố trí kế hoạch giảng dạy theo Thông báo số 494/TB-ĐHBD sau ngày 24/6/2024 là gì?,"Bao gồm việc bố trí thời khóa biểu dự kiến, mời giảng viên tham gia giảng dạy, gửi kế hoạch về Phòng QLĐT&CTSV, cập nhật dữ liệu lên phần mềm quản lý đào tạo và rà soát, hiệu chỉnh thời khóa biểu (nếu có).",,,Giảng viên
TB_494,"Theo Thông báo số 494/TB-ĐHBD, giảng viên cần cập nhật dữ liệu gì vào phần mềm quản lý đào tạo?",Giảng viên cần cập nhật dữ liệu giảng viên và phương pháp tổ chức giảng dạy cho từng môn học trong học kỳ.,,,Giảng viên
TB_494,"Theo Thông báo số 494/TB-ĐHBD, việc tổ chức đăng ký môn học trực tuyến bắt đầu từ thời điểm nào?",Việc tổ chức đăng ký môn học trực tuyến bắt đầu từ ngày 22 tháng 7 năm 2024 tại Cổng thông tin sinh viên.,,,Giảng viên
TB_494,"Theo Thông báo số 494/TB-ĐHBD, sinh viên khóa tuyển sinh năm 2021 và năm 2022 được phép đăng ký tối đa và tối thiểu bao nhiêu tín chỉ?",Sinh viên khóa tuyển sinh năm 2021 trở về trước được phép đăng ký tối đa 25 tín chỉ và tối thiểu 10 tín chỉ; sinh viên khóa tuyển sinh năm 2022 trở đi được phép đăng ký tối đa 19 tín chỉ và tối thiểu 10 tín chỉ.,,,Giảng viên
TB_494,"Theo Thông báo số 494/TB-ĐHBD, sau giai đoạn đăng ký ban đầu, các hoạt động rà soát và đăng ký bổ sung môn học diễn ra trong khoảng thời gian nào?","Hoạt động rà soát, xử lý dữ liệu đăng ký môn học diễn ra từ ngày 26/7 đến 30/7/2024; đăng ký bổ sung diễn ra từ ngày 1/8 đến 2/8/2024; tiếp tục rà soát dữ liệu đăng ký bổ sung từ ngày 3/8 đến 7/8/2024.",,,Giảng viên
TB_494,"Theo Thông báo số 494/TB-ĐHBD, sinh viên có thể đăng ký bổ sung môn học bằng những hình thức nào?",Sinh viên có thể đăng ký bổ sung môn học trực tuyến tại Cổng thông tin sinh viên hoặc đăng ký bổ sung trực tiếp (offline) nếu có nguyện vọng.,,,Giảng viên
TB_494,Thời điểm sinh viên nộp học phí học kỳ 1 năm học 2024-2025 theo Thông báo số 494/TB-ĐHBD là khi nào?,Sinh viên nộp học phí học kỳ 1 từ ngày 19 tháng 8 năm 2024 đến ngày 9 tháng 9 năm 2024.,,,Giảng viên
TB_494,"Theo Thông báo số 494/TB-ĐHBD, sinh viên khóa tuyển sinh năm 2024 có phải tự đăng ký môn học trong học kỳ đầu tiên không?",Không. Nhà trường sẽ thực hiện đăng ký môn học cho sinh viên khóa tuyển sinh năm 2024 trong học kỳ đầu tiên năm thứ nhất.,,,Giảng viên
TB_494,"Theo Thông báo số 494/TB-ĐHBD, vai trò của các đơn vị đào tạo trong việc thực hiện kế hoạch là gì?",Các đơn vị đào tạo có trách nhiệm chủ động phối hợp với các đơn vị liên quan lên kế hoạch rà soát theo thời gian quy định.,,,Giảng viên
TB_494,"Theo Thông báo số 494/TB-ĐHBD, trách nhiệm chính của Phòng QLĐT&CTSV trong quá trình thực hiện kế hoạch là gì?","Phòng QLĐT&CTSV chịu trách nhiệm tổng hợp thông tin phản hồi từ các đơn vị đào tạo và báo cáo Ban Giám hiệu về tình hình rà soát, thực hiện kế hoạch.",,,Giảng viên
TB_494,"Theo Thông báo số 494/TB-ĐHBD, nếu các đơn vị gặp khó khăn trong quá trình thực hiện thì cần xử lý như thế nào?","Các đơn vị cần trao đổi trực tiếp hoặc gửi văn bản về Phòng QLĐT&CTSV để tổng hợp và báo cáo Hiệu trưởng xem xét, quyết định.",,,Giảng viên
TB_494,Lịch trình chi tiết thực hiện rà soát và tổ chức kế hoạch đào tạo học kỳ 1 năm học 2024-2025 theo Thông báo số 494/TB-ĐHBD diễn ra trong khoảng thời gian nào?,Lịch trình thực hiện kéo dài từ ngày 10 tháng 6 năm 2024 đến ngày 9 tháng 9 năm 2024.,,,Giảng viên
TB_494,Thông báo số 494/TB-ĐHBD nhấn mạnh những yếu tố nào để đảm bảo công tác đào tạo hiệu quả?,"Thông báo nhấn mạnh sự cần thiết của việc thu thập thông tin, điều chỉnh kế hoạch đào tạo theo nhu cầu người học, phối hợp chặt chẽ giữa các đơn vị liên quan và đảm bảo tiến độ đăng ký, học tập của sinh viên.",,,Giảng viên
TB_494,Ai là người ký ban hành Thông báo số 494/TB-ĐHBD?,Thông báo số 494/TB-ĐHBD được ký ban hành bởi Hiệu trưởng Trường Đại học Bình Dương – ông Cao Việt Hiếu.,,,Giảng viên
TB_48,Thông báo số 48/TB-ĐHBD được ban hành vào ngày nào?,Thông báo số 48/TB-ĐHBD được ban hành vào ngày 10 tháng 6 năm 2024.,,,Giảng viên
TB_48,Thông báo số 48/TB-ĐHBD về việc đăng ký dự Lễ tốt nghiệp năm 2023 - đợt 1 do cơ quan nào ban hành?,Thông báo số 48/TB-ĐHBD do Trường Đại học Bình Dương ban hành.,,,Giảng viên
TB_48,Đối tượng áp dụng trong Thông báo số 48/TB-ĐHBD là ai?,"Đối tượng áp dụng là sinh viên các hệ: Đại học chính quy, liên thông, văn bằng 2, cao đẳng của Trường Đại học Bình Dương đã đủ điều kiện công nhận tốt nghiệp.",,,Giảng viên
TB_48,Điều kiện để sinh viên đăng ký tham dự Lễ tốt nghiệp năm 2023 - đợt 1 là gì?,Sinh viên phải thực hiện đăng ký tham dự và nộp đầy đủ lệ phí theo quy định của Trường Đại học Bình Dương.,,,Giảng viên
TB_48,Thời gian đăng ký tham dự Lễ tốt nghiệp năm 2023 - đợt 1 được quy định như thế nào?,"Sinh viên đăng ký tham dự Lễ tốt nghiệp từ ngày 13/02/2023 đến hết ngày 21/02/2023, vào các khung giờ: sáng 08h00-11h00, chiều 14h00-17h00 (trừ Chủ nhật và các ngày lễ).",,,Giảng viên
TB_48,Lễ tốt nghiệp năm 2023 - đợt 1 dự kiến được tổ chức vào thời gian nào?,"Lễ tốt nghiệp dự kiến tổ chức vào sáng ngày 04/03/2023 (Thứ Bảy), bắt đầu từ 07h45 tại Nhà hát sinh viên (Hội trường I, Lầu IV, tòa nhà A).",,,Giảng viên
TB_48,Sinh viên phải có mặt tại địa điểm tổ chức lễ vào thời điểm nào?,Sinh viên phải có mặt từ 07h45 để ổn định chỗ ngồi và điểm danh trước khi bắt đầu buổi lễ.,,,Giảng viên
TB_48,Hình thức đăng ký tham dự Lễ tốt nghiệp năm 2023 - đợt 1 được thực hiện như thế nào?,"Sinh viên đăng ký tham dự bằng cách liên hệ trực tiếp phòng Quản lý Đào tạo và Công tác Sinh viên (QLĐT&CTSV), có thể nhờ người thân, bạn bè đến đăng ký và nộp lệ phí trực tiếp.",,,Giảng viên
TB_48,Mức lệ phí tham dự Lễ tốt nghiệp và thuê lễ phục là bao nhiêu?,"Mức lệ phí tham dự Lễ tốt nghiệp và thuê lễ phục là 500.000 đồng, trong đó bao gồm tiền đặt cọc 200.000 đồng sẽ được hoàn trả sau khi trả lại lễ phục nguyên vẹn.",,,Giảng viên
TB_48,Lệ phí tham dự Lễ tốt nghiệp được nộp theo hình thức nào?,"Sinh viên phải nộp lệ phí trực tiếp tại thời điểm đăng ký, không chấp nhận hình thức chuyển khoản.",,,Giảng viên
TB_48,Sinh viên có được chụp hình chân dung khi đăng ký tham dự Lễ tốt nghiệp không?,"Có, sinh viên đã đăng ký sẽ được Nhà trường chụp hình chân dung trong lễ phục tốt nghiệp để phục vụ trình chiếu trong buổi lễ.",,,Giảng viên
TB_48,Nếu sinh viên không hoàn trả lễ phục đúng hạn thì tiền đặt cọc có được hoàn lại không?,"Không, nếu sinh viên không hoàn trả lễ phục theo thời gian quy định thì sẽ không được nhận lại tiền đặt cọc; khoản tiền này được dùng để may lễ phục mới.",,,Giảng viên
TB_48,Mức lệ phí nhận bằng chính thức của sinh viên là bao nhiêu?,Mức lệ phí nhận bằng chính thức là 1.000.000 đồng.,,,Giảng viên
TB_48,Thông tin tài khoản ngân hàng của Trường Đại học Bình Dương để sinh viên nộp lệ phí nhận bằng là gì?,Tên tài khoản: Trường Đại học Bình Dương; số tài khoản: 65010006888868 tại Ngân hàng BIDV - Chi nhánh Bình Dương.,,,Giảng viên
TB_48,Nội dung sinh viên cần ghi khi chuyển khoản lệ phí nhận bằng chính thức là gì?,Nội dung chuyển khoản: [MSSV] [Họ và tên] LPTN. Ví dụ: 1234567 Nguyen Van A LPTN.,,,Giảng viên
TB_48,Việc đăng ký tham dự Lễ tốt nghiệp năm 2023 - đợt 1 có bắt buộc không?,"Việc đăng ký tham dự Lễ tốt nghiệp là tự nguyện, sinh viên không bắt buộc phải tham gia.",,,Giảng viên
TB_48,Sinh viên không tham dự đợt 1 có thể tham dự các đợt sau không?,"Có, sinh viên có thể đăng ký tham gia các đợt sau nếu Nhà trường có thông báo kế hoạch tổ chức.",,,Giảng viên
TB_48,"Tại buổi Lễ tốt nghiệp, sinh viên có nhận bằng chính thức không?","Không, tại buổi Lễ tốt nghiệp chỉ trao bằng tượng trưng; sinh viên nhận bằng chính thức sau khi kết thúc buổi lễ.",,,Giảng viên
TB_48,Thời gian hoàn trả lễ phục tốt nghiệp được quy định như thế nào?,Sinh viên hoàn trả lễ phục vào sáng ngày 04/03/2023 hoặc sáng ngày 11/03/2023.,,,Giảng viên
TB_48,Sinh viên đạt thành tích học tập xuất sắc nhận bằng khen chính thức khi nào?,Sinh viên nhận bằng khen tượng trưng trên sân khấu; sau buổi lễ liên hệ phòng QLĐT&CTSV để nhận bằng khen chính thức.,,,Giảng viên
TB_48,Sinh viên đăng ký tham dự Lễ nhận bằng chính thức sau buổi lễ tại thời điểm nào?,Sinh viên đã đăng ký tham dự nhận bằng chính thức ngay sau khi kết thúc buổi lễ tại phòng QLĐT&CTSV (gặp thầy Lâm Tuấn Tài).,,,Giảng viên
TB_48,Nếu sinh viên không tham dự Lễ tốt nghiệp thì thời gian nhận bằng chính thức là khi nào?,Sinh viên không tham dự lễ sẽ nhận bằng vào thứ Ba và thứ Năm hàng tuần.,,,Giảng viên
TB_48,Kênh liên hệ hỗ trợ thông tin về Thông báo số 48/TB-ĐHBD là gì?,Sinh viên liên hệ phòng QLĐT&CTSV qua email: daotao@bdu.edu.vn để được hỗ trợ.,,,Giảng viên
TB_48,Ai là người ký ban hành Thông báo số 48/TB-ĐHBD?,Thông báo số 48/TB-ĐHBD do Phó Hiệu trưởng Thường trực Đỗ Doan Trang ký ban hành.,,,Giảng viên
TB_1333,Mục đích của Thông báo số 1333/TB-ĐHBD là gì?,"Mục đích của Thông báo số 1333/TB-ĐHBD là yêu cầu các Khoa, Viện và đơn vị liên quan thuộc Trường Đại học Bình Dương báo cáo danh mục ngành và chuyên ngành đào tạo chính quy phục vụ công tác tuyển sinh năm 2025.",,,Giảng viên
TB_1333,Đối tượng nào phải thực hiện báo cáo danh mục ngành và chuyên ngành đào tạo theo Thông báo số 1333/TB-ĐHBD?,"Các Khoa, Viện và các đơn vị trực thuộc Trường Đại học Bình Dương.",,,Giảng viên
TB_1333,Nội dung báo cáo danh mục ngành và chuyên ngành đào tạo yêu cầu theo biểu mẫu nào?,"Nội dung báo cáo thực hiện theo mẫu đính kèm Thông báo số 1333/TB-ĐHBD, bao gồm các cột: STT, Đơn vị quản lý, Ngành đào tạo, Mã ngành, Chuyên ngành đào tạo và Mã chuyên ngành.",,,Giảng viên
TB_1333,Hạn cuối cùng để gửi báo cáo theo Thông báo số 1333/TB-ĐHBD là khi nào?,Chậm nhất là ngày 31/10/2024.,,,Giảng viên
TB_1333,Đơn vị nào tiếp nhận báo cáo danh mục ngành và chuyên ngành đào tạo theo Thông báo số 1333/TB-ĐHBD?,Phòng Tuyển sinh Trường Đại học Bình Dương.,,,Giảng viên
TB_1333,Thông tin liên hệ để gửi báo cáo cho Phòng Tuyển sinh là gì?,"Liên hệ Cô Đoàn Minh Thảo, Trưởng phòng Tuyển sinh, số điện thoại 0919 010 203.",,,Giảng viên
TB_1333,Thông báo số 1333/TB-ĐHBD yêu cầu các đơn vị triển khai công việc này như thế nào?,Thông báo yêu cầu các đơn vị nghiêm túc triển khai thực hiện báo cáo danh mục ngành và chuyên ngành đào tạo đúng hạn.,,,Giảng viên
TB_1333,Danh mục ngành và chuyên ngành đào tạo được báo cáo theo Thông báo số 1333/TB-ĐHBD có phải là danh mục chính thức cho năm 2025 không?,Không. Danh mục này chỉ mang tính chất tham khảo và được ghi chú là thông tin 'chưa chính thức năm 2025'.,,,Giảng viên
